,,,,,
,Reactivos,,,,
,Nombre,Codigo de formato,Grado de pureza,,
,CLORURO DE COBRE (II) 2-HIDRATO,5,Puro,,
,COBALTO (II) CLORURO 6-HIDRATO,5,98 %,,
,CROMO (VI) ÓXIDO,4,99 %,,
,PLOMO (II) NITRATO,18,99 %,,
,PLOMO (II) NITRATO,4,Puro,,
,PLOMO (IV) ÓXIDO,3,95 %,,
,MOLIBDENO (VI) ÓXIDO,5,99 %,,
,SILICAGEL 2,1 Kg,3,27 %,
,HIDROQUINONA,5,No viene reflejado,,
,HIDROQUINONA,5,Purísimo,,
,ÁCIDO SÓRBICO,5,98,5 %,
,ÁCIDO SÓRBICO,6,Puro,,
,ÁCIDO PALMÍTICO,18,No viene reflejado,,
,ÁCIDO CÍTRICO MONOHIDRATADO,3,99,7 %,
,ÁCIDO ETILENDIAMMINOTETRAACETICO SAL DISÓDICA 2-HIDRATO,4,99-101 %,,
,ÁCIDO ETILENDIAMMINOTETRAACETICO SAL DISÓDICA 2-HIDRATO,5,98 %,,
,ÁCIDO ETILENDIAMINOTETRAACÉTICO SAL DISÓDICA DIHIDRATO,3,99-101 %,,
,ÁCIDO CÍTRICO ANHIDRO,3,99,5-100,5 %
,ÁCIDO ASPÁRTICO,4,98,5-101,5 %
,ÁCIDO ASÓRDICO,6,99 %,,
,ÁCIDO ASÓRDICO,6,No viene reflejado,,
,ÁCIDO ASÓRDICO,6,99,7 %,
,ÁCIDO ASÓRDICO,5,99,7 %,
,ÁCIDO ASÓRDICO,4,99-100,5 %,
,ÁCIDO ASÓRDICO,4,99 %,,
,ETIL ACETATO,13,99,5 %,
,1-PROPANOL,13,99,5 %,
,ISO-BUTIRALDEHIDO,13,99 %,,
,SODIO BOROHIDRURO,6,97 %,,
,DL-ALCANFOR,3,Purísimo,,
,TETRACLORURO DE CARBONO,13,99,8 %,
,1,500 mL,14,No viene reflejado,
,BENZALDEHIDO,18,Puro,,
,HEXANO Y ALCOHOL RECUPERADO,18,No viene reflejado,,
,N-HEXANO PARA RECUPERAR,18,No viene reflejado,,
,HEPTANO PARA RECICLAR,13,No viene reflejado,,
,TERT-BUTANOL,13,99 %,,
,ETILO ACETATO,13,99,5 %,
,DICLORO BENCENO,18,No viene reflejado,,
,1-BUTANOL,13,99,5 %,
,2-METIL-2-PROPANOL,13,99 %,,
,BENZALDEHIDO,18,Puro,,
,ALCOHOL AMÍLICO (ISO),13,Puro,,
,CETONA,13,99,5 %,
,ETER DE PETROLEO,13,No viene reflejado,,
,4-METIL-2-PENTANONA,13,99 %,,
,ISOOCTANO,13,99 %,,
,DIFENILAMINA,6,99 %,,
,RESIDUOS TOLUENO,13,No viene reflejado,,
,METANOL,13,99,8 %,
,METANOL,13,99,5 %,
,TETRABUTILAMONIO HIDRÓXIDO,14,No viene reflejado,,
,BENCENO SECO,13,99,8 %,
,2-MERCAPTOETANOL,15,No viene reflejado,,
,N-PETANO,13,95 %,,
,ÉTER ETILICO,12,,100 %,
,TOLUENO,12,,100 %,
,HEXANO,11,95 %,,
,SATURADO DE N-HEXANO,18,No viene reflejado,,
,PIPERIDINA,14,99 %,,
,N-HEXANO,11,97 %,,
,TOLUENO,13,99,5 %,
,PIPERININA,12,99 %,,
,GASOLINA,18,No viene reflejado,,
,SODIO METILATO,13,30 %,,
,2-PROPANOL,13,No viene reflejado,,
,PIPERININA,18,Puro,,
,METANOL,13,No viene reflejado,,
,BENZOLLO CLORURO,13,99 %,,
,DIOXANO,13,98 %,,
,1-BUTANOL,13,99 %,,
,XILENO,13,No viene reflejado,,
,1-PROPANOL,13,99,5 %,
,2-PROPANOL,13,99,5 %,
